from,to,relationship
JL,SetUp,1
JL,TTP,1
JL,EuAl,1
JL,CoAl,1
JL,USCM,1
MT,RCC,1
MT,VoLeCa,1
MT,VoZu,1
MT,LeCaVB,1
MT,SmAP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,EuTw,1
ET,LBA,1
HK,VfBU,1
HK,OSS,1
HK,BSS,1
IVV,AsKi,1
IVV,RCC,1
IVV,IBF,1
IVV,CL,1
IVV,RRV,1
IVV,CSMT,1
JN,GBL,1
JN,BKS,1
JN,KS,1
JN,SMS,1
SL,KAF,1
SL,BE,1
SL,IVC,1
SL,PSU,1
MSP,BVMB,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,VfBS,1
HJ,VCS,1
HD,AMS,1
HD,BSS,1
KR,UoA,1
KR,BA,1
KR,MNE,1
LB,FV,1
LB,BSP,1
LB,VCO,1
RK,OK,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,KI,1
RK,SoPa,1
LG,EJM,1
LG,BSS,1
JL,NL,2
MT,BG,2
ET,NL,2
HK,DE,2
IVV,BL,2
JN,PL,2
SL,US,2
MSP,SP,2
HJ,NL,2
HD,DE,2
KR,US,2
LB,DE,2
RK,FL,2
LG,DE,2